"unit","group_name_partner","date_and_time","borough","locationtype","location","event_name","event_type","category","classification","attendance","audience"
"Recreation",,"2020-07-30T11:00:00.000","Staten Island","Playground","De Matti Playground","Fit Kids","Community Based Event","Fitness","Summer 2020","0","Children;#Teens"
"Urban Park Rangers","General public","2020-07-30T15:00:00.000","Queens","Park","Phil ""Scooter"" Rizzuto Park","Animals in Motion","Community Based Event","Nature","Summer 2020","15","General Public"
"Recreation",,"2020-07-30T11:00:00.000","Bronx","Park","Poe Park","Art in the Park: Q- tip Painting","Local Event","Arts/Culture",,"0","Tot;#Children;#Teens"
"Recreation",,"2018-07-13T20:00:00.000","Manhattan","Park","Frederick Johnson Park","Movies Under the Stars: Queen of Katwe","Community Based Event","Mobile Unit","Movies","85","General Public"
"Urban Park Rangers","General Public","2020-07-30T13:45:00.000","Staten Island","Playground","McDonald Playground","Leaf Rubbing","Community Based Event","Nature","Summer 2020","8","General Public"
"Urban Park Rangers","General Public","2020-07-30T14:00:00.000","Manhattan","Park","Inwood Hill Park","Marsh Madness","Community Based Event","Nature","Summer 2020","8","General Public"
"Urban Park Rangers","General Public","2020-07-30T11:00:00.000","Brooklyn","Park","Highland Park","Mask and Chalk Giveaway","Community Based Event","Nature","Summer 2020","12","General Public"
"Urban Park Rangers","General Public","2020-07-30T11:30:00.000","Brooklyn","Park","Highland Park","Mask and Chalk Giveaway","Community Based Event","Nature","Summer 2020","13","General Public"
"Urban Park Rangers","General Public","2020-07-30T14:45:00.000","Manhattan","Park","Inwood Hill Park","Marsh Madness","Community Based Event","Nature","Summer 2020","5","General Public"
"Urban Park Rangers","General Public","2020-07-30T15:30:00.000","Bronx","Park","Barretto Point Park","Animal Olympics","Agency Produced Event","Nature","Summer 2020","19","Children"
"Urban Park Rangers","General Public","2020-07-30T15:00:00.000","Manhattan","Park","Inwood Hill Park","Marsh Madness","Community Based Event","Nature","Summer 2020","9","General Public"
"Recreation",,"2020-08-18T10:00:00.000","Bronx","Park","St. Mary's Park","Cardio + Strength","Community Based Event","Fitness","Fitness","2","Teens"
"Recreation","Jasmine Campbell","2020-07-30T10:30:00.000","Manhattan","Park","Marcus Garvey Park","KIM Outdoor Programming","Community Based Event","Sport","Summer 2020","10","Tot;#Children;#Teens"
"Urban Park Rangers","General Public","2020-07-30T14:20:00.000","Manhattan","Park","Inwood Hill Park","Marsh Madness","Community Based Event","Nature","Summer 2020","6","General Public"
"Recreation",,"2020-07-31T07:30:00.000","Bronx","Recreation Center","St. James Recreation Center","HIIT Circuit Fitness","Open House","Fitness","Summer 2020","0","Young Adult;#Adults;#Seniors"
"Recreation",,"2018-07-18T20:00:00.000","Manhattan","Park","Hamilton Fish Park","Movies Under the Stars: Moana","Community Based Event","Mobile Unit","Movies","196","General Public"
"Recreation","Raoufa Ali","2020-07-29T10:30:00.000","Manhattan","Park","Hamilton Fish Park","KIM Outdoor Programming","Community Based Event","Sport","Summer 2020","1","Children"
"Recreation","Guy Ruffin & Daniel Colonna","2020-07-30T10:30:00.000","Manhattan","Park","Thomas Jefferson Park","Summer Sports Experience","Community Based Event","Sport","Summer 2020","17","Tot;#Children;#Teens"
"Recreation",,"2020-07-31T10:00:00.000","Bronx","Park","Soundview Park","Photography and Art at Soundview Park","Agency Produced Event","Arts/Culture","Summer 2020","0","Children"
"Recreation","Tracy Boyland","2020-07-30T11:00:00.000","Brooklyn","Park","Coffey Park","Puppet Making Workshop","Local Event","Arts/Culture","Summer 2020","20","Tot;#Children"
"Recreation","Ricardo Sanchez","2020-07-30T10:30:00.000","Manhattan","Park","Columbus Park","KIM Outdoor PRogramming","Community Based Event","Sport","Summer 2020","9","Tot;#Children;#Teens"
"Recreation",,"2020-07-31T11:00:00.000","Staten Island","Playground","De Matti Playground","Walk-a-Thon","Community Based Event","Fitness","Summer 2020","0","Children"
"Recreation",,"2020-07-31T11:00:00.000","Bronx","Other","Virtual Poe","Special Express Writers Anthology Project","Agency Produced Event","Arts/Culture","Summer 2020","7","Young Adult;#Adults"
"Recreation","Darrly Algood","2020-07-27T00:00:00.000","Brooklyn","Playground","Century Playground",,"Local Event","Mobile Unit","Summer 2020","7","Tot;#Teens;#Children"
"Recreation",,"2020-07-28T10:30:00.000","Manhattan","Park","Columbus Park","KIM Outdoor Programming","Community Based Event","Sport","Summer 2020","0","Tot;#Children;#Teens"
"Recreation","Carol Landes","2020-07-31T08:00:00.000","Staten Island","Playground","Jennifer's Playground","Stronger Than Ever","Open House","Fitness","Summer 2020","4","Seniors"
"Recreation",,"2018-05-26T20:30:00.000","Manhattan","Playground","Sol Bloom Playground","Movies Under the Stars: Spiderman Homecoming","Community Based Event","Mobile Unit","Movies","95","General Public"
"Recreation",,"2018-07-19T20:00:00.000","Manhattan","Playground","Playground 103 CIII","Movies Under the Stars: Lion","Community Based Event","Mobile Unit","Movies","189","General Public"
"Recreation","Darryl Algood","2020-07-28T00:00:00.000","Brooklyn","Playground","West Playground",,"Local Event","Mobile Unit","Summer 2020","18","Tot;#Children;#Teens"
"Recreation","Darrly Algood","2020-07-28T01:00:00.000","Brooklyn","Playground","100% Playground",,"Local Event","Mobile Unit","Summer 2020","63","Tot;#Children;#Teens"
"Recreation","Mauricio Cortez","2020-07-31T09:00:00.000","Brooklyn","Park","Maria Hernandez","Youth Summer Pop Up Recreation","Local Event","Sport","Summer 2020","0","Tot;#Children"
"Recreation",,"2020-07-31T13:00:00.000","Staten Island","Playground","De Matti Playground","Fit Kids","Community Based Event","Fitness","Summer 2020","1","Children;#Teens"
"Recreation","Darryl Algood","2020-07-28T09:00:00.000","Brooklyn","Playground","Fox Playground",,"Local Event","Mobile Unit","Summer 2020","2","Tot;#Children;#Teens"
"Recreation",,"2020-07-30T10:30:00.000","Bronx","Playground","Castle Hill Playground","Soccer Skills","Agency Produced Event","Sport","Summer 2020","0","Children;#Young Adult;#Teens"
"Recreation","Mauricio Cortez","2020-07-31T12:00:00.000","Brooklyn","Playground","Potomac Playground","Youth Summer Pop Up Recreation","Local Event","Sport","Summer 2020","0","Tot;#Children"
"Recreation",,"2020-07-30T14:00:00.000","Bronx","Park","Barretto Point Park","Basketball Skills","Agency Produced Event","Sport","Summer 2020","0","Children;#Young Adult;#Teens"
"Urban Park Rangers","General Public","2020-07-31T15:45:00.000","Staten Island","Park","The Big Park","Buggin' Out","Community Based Event","Nature","Summer 2020","10","General Public"
"Urban Park Rangers","General Publc","2020-07-31T15:50:00.000","Manhattan","Park","Martin Luther King Jr. Park","Park Scientists: Is there plant diversity here?","Community Based Event","Nature","Summer 2020","3","General Public"
"Recreation",,"2018-07-20T18:00:00.000","Manhattan","Park","Jackie Robinson Bandshell","Taikoza Concert","Community Based Event","Performance","Music","55","General Public"
"Recreation",,"2020-07-31T14:00:00.000","Bronx","Playground","Hunts Point Playground","Basketball Skills","Agency Produced Event","Sport","Summer 2020","0","Children;#Young Adult;#Teens"
"Recreation",,"2020-07-31T10:30:00.000","Bronx","Park","Ferry Point Park","Soccer Skills","Agency Produced Event","Sport","Summer 2020","0","Children;#Young Adult;#Teens"
"Urban Park Rangers","General Public","2020-07-31T15:00:00.000","Bronx","Playground","Cedar Playground","Squirrel Parkour","Agency Produced Event","Nature","Summer 2020","0","Children"
"Urban Park Rangers","General Public","2020-08-01T11:00:00.000","Brooklyn","Park","Marine Park","Animals of the Marsh: Past and Present","Community Based Event","Nature","Summer 2020","11","General Public"
"Urban Park Rangers","General Public","2020-07-31T14:00:00.000","Brooklyn","Park","Bush Terminal Park","Draw the Birds!","Community Based Event","Nature","Summer 2020","15","General Public"
"Urban Park Rangers","General Public","2020-07-31T16:50:00.000","Manhattan","Park","Central Park","Ichthyology: Fish Are More Than Food","Community Based Event","Nature","Summer 2020","6","General Public"
"Urban Park Rangers","General Public","2020-07-31T14:30:00.000","Brooklyn","Park","Brower Park","Nature Chalk Art","Community Based Event","Nature","Summer 2020","18","General Public"
"Urban Park Rangers","General Public","2020-07-31T15:30:00.000","Bronx","Playground","Galileo Playground","Animal Olympics","Agency Produced Event","Nature","Summer 2020","0","Children"
"Urban Park Rangers","General Public","2020-08-01T11:00:00.000","Staten Island","Park","Buono Beach","Beach Ecology and Clean Up","Community Based Event","Nature","Summer 2020","6","General Public"
,"ACF","2022-04-12T15:00:00.000","Bronx",,"Williamsbridge Oval Recreation Center","ACF Graffitti Workshop",,"Arts/Culture","Lecture/Panel/Talk","51",
"Urban Park Rangers","Green Thumb","2020-08-01T11:00:00.000","Brooklyn","Other","Brooklyn Bears Carlton Avenue Community Garden","Open Garden Day: Succulent Workshop","Agency Produced Event","Arts/Culture","Summer 2020","20","General Public"
"Recreation",,"2018-06-23T20:30:00.000","Queens","Other","Sean's Place","Movies Under the Stars ""Lego: Ninjago""","Community Based Event","Mobile Unit","Movies","54","General Public"
"Recreation","Annalisa Thompson","2020-07-25T10:30:00.000","Manhattan","Park","Marcus Garvey Park","Harlem Programming","Community Based Event","Sport","Summer 2020","10","Tot;#Children;#Teens"
"Urban Park Rangers","General Public","2020-08-01T12:15:00.000","Brooklyn","Park","Marine Park","Animals of the marsh : Past and Present","Community Based Event","Nature","Summer 2020","8","General Public;#Seniors"
"Urban Park Rangers","General Public","2020-08-01T12:00:00.000","Manhattan","Park","Morningside Park","How I Learned to Stop Worrying and Love the Algae","Community Based Event","Nature","Summer 2020","7","General Public"
"Recreation","Arts, Culture, and Fun Mobile Unit","2020-07-31T14:00:00.000","Bronx","Park","Bronx Park",,"Community Based Event","Arts/Culture",,"0","Tot;#Children"
"Recreation","Arts, Culture, and Fun Mobile Unit","2020-07-31T10:30:00.000","Bronx","Park","Van Nest Park",,"Community Based Event","Arts/Culture",,"0","Tot;#Children"
"Urban Park Rangers","General Public","2020-08-01T11:15:00.000","Bronx","Playground","Story Playground","Nature Journaling","Agency Produced Event","Nature","Summer 2020","0","Children"
"Urban Park Rangers","General Public","2020-08-01T10:45:00.000","Bronx","Park","Soundview Park","Nature Journaling","Agency Produced Event","Nature","Summer 2020","0","Children"
"Recreation","Arts, Culture, and Fun Mobile Unit","2020-07-30T14:00:00.000","Bronx","Playground","Zimmerman Playground",,"Community Based Event","Arts/Culture",,"7","Children;#Tot"
"Urban Park Rangers","General Public","2020-08-01T15:00:00.000","Staten Island","Playground","McDonald Playground","What is That?","Community Based Event","Nature","Summer 2020","4","General Public"
"Urban Park Rangers","General Public","2020-08-01T12:10:00.000","Queens","Park","Baisley Pond Park","Nature ASL","Community Based Event","Nature","Summer 2020","7","General Public"
"Recreation",,"2018-06-15T20:30:00.000","Queens","Playground","Playground Ninety","Movies Under the Stars ""The Book of Life""","Community Based Event","Mobile Unit","Movies","171","General Public"
"Urban Park Rangers","General Public","2020-08-01T13:15:00.000","Queens","Park","Detective Keith L Williams Park","Nature ASL","Community Based Event","Nature","Summer 2020","18","General Public"
"Urban Park Rangers","General Public","2020-08-02T10:45:00.000","Queens","Playground","Pomonok Playground","NYC Native Wildlife","Community Based Event","Nature","Summer 2020","5","Children;#Young Adult;#Adults"
"Urban Park Rangers","General Public","2020-08-01T15:00:00.000","Manhattan","Park","St. Nicholas Park","Trees, chalk on pavement, 2020","Community Based Event","Nature","Summer 2020","15","General Public"
"Urban Park Rangers","General Public","2020-08-01T14:45:00.000","Brooklyn","Park","Calvert Vaux Park","Chalk and Music","Local Event","Nature","Summer 2020","8","General Public"
"Urban Park Rangers","General Public","2020-08-02T11:30:00.000","Queens","Park","Detective Keith L Williams Park","NYC Native Wildlife","Community Based Event","Nature","Summer 2020","11","Children;#Young Adult;#Adults"
"Urban Park Rangers","General Public","2020-08-02T11:20:00.000","Queens","Playground","Judge Moses Weinstein Playground","Animal Olympics","Community Based Event","Nature","Summer 2020","8","General Public"
"Urban Park Rangers","General Public","2020-08-02T11:00:00.000","Staten Island","Park","Clove Lakes Park","Park Clean Up","Community Based Event","Nature","Summer 2020","12","General Public"
"Urban Park Rangers","General Public","2020-08-01T14:00:00.000","Brooklyn","Park","Calvert Vaux Park","Animal Drawing and Mask Giveaway","Local Event","Nature","Summer 2020","12","General Public"
"Urban Park Rangers","General Public","2020-08-02T14:20:00.000","Brooklyn","Park","Marine Park","Seagulls and Social Distancing","Community Based Event","Nature","Summer 2020","7","General Public"
"Urban Park Rangers","General Public","2020-08-02T12:00:00.000","Manhattan","Park","St. Nicholas Park","Grow your own garden","Community Based Event","Nature","Summer 2020","15","General Public"
"Recreation",,"2018-07-20T20:00:00.000","Manhattan","Playground","Dry Dock Playground","Movies Under the Stars: The Jungle Book","Community Based Event","Mobile Unit","Movies","369","General Public"
"Recreation","Elijah Voyd","2020-08-02T14:00:00.000","Bronx","Recreation Center","St. Mary's Recreation Center","Paint With Me","Community Based Event","Arts/Culture","Summer 2020","0","Children"
"Recreation","Jeslyn Galarza","2020-08-02T14:00:00.000","Bronx","Playground","St. Mary's","Adult Hip hop Fitness","Open House","Fitness","Dance","0","Adults;#Young Adult"
"Recreation",,"2020-08-02T09:00:00.000","Bronx","Recreation Center","St. James Recreation Center","Salsa Aerobic","Local Event","Fitness","Summer 2020","0","Young Adult;#Adults"
"Urban Park Rangers","General Public","2020-08-02T15:00:00.000","Bronx","Playground","Fort Independence Playground","Nature Chalk Art","Agency Produced Event","Nature","Summer 2020","9","Children"
"Recreation","Jonathan Adone","2020-07-31T14:00:00.000","Brooklyn","Park","McKinley Park","Fitness","Local Event","Fitness","Summer 2020","5","Young Adult"
"Recreation","Eligah  Voyd","2020-08-02T11:00:00.000","Bronx","Recreation Center","St. Mary's Recreation Center","Toddler Adventure","Community Based Event","Arts/Culture","Summer 2020","0","Tot"
"Urban Park Rangers","General Public","2020-08-02T15:50:00.000","Queens","Park","Rochdale Park","Nature Detective I Spy","Community Based Event","Nature","Summer 2020","7","General Public"
"Urban Park Rangers","General Public","2020-08-02T16:03:00.000","Staten Island","Playground","Cpl. Thompson Playground","Leaf no Trace","Community Based Event","Nature","Summer 2020","5","General Public"
"Recreation","Jonathan Adone","2020-07-31T10:00:00.000","Brooklyn","Park","McKinley Park","Pick Up Pickle Ball","Local Event","Fitness","Summer 2020","9","Seniors"
"Recreation",,"2020-07-06T09:00:00.000","Bronx","Recreation Center","St. Mary's Recreation Center","Cardio + Strength","Local Event","Fitness","Fitness","8","Children;#Teens"
"Recreation",,"2018-06-26T20:30:00.000","Queens","Playground","Russell Sage Playground","Movies Under the Stars ""The Lion King""","Community Based Event","Mobile Unit","Movies","326","General Public"
"Urban Park Rangers","General Public","2020-08-02T15:00:00.000","Manhattan","Park","Morningside Park","Morningside Trash Pick-Up","Community Based Event","Nature","Summer 2020","3","General Public"
"Recreation",,"2020-07-05T09:00:00.000","Bronx","Recreation Center","St. Mary's Recreation Center","Skills & Drills","Community Based Event","Sport","Summer 2020","8","Teens;#Children"
"Recreation","Oscar Chavez","2020-07-31T10:00:00.000","Bronx","Recreation Center","Williamsbridge Oval Recreation Center","Bingo","Community Based Event","Arts/Culture","Summer 2020","0","Seniors"
"Recreation",,"2020-07-06T11:00:00.000","Bronx","Park","St. Mary's Park","Skills & Drills","Community Based Event","Sport",,"10","Teens;#Young Adult"
"Recreation","Tasha Valentino","2020-08-03T10:00:00.000","Bronx","Park","Soundview Park","Mindful Play","Agency Produced Event","Fitness","Summer 2020","1","Children"
"Recreation","Jeslyn Galarza and Loretta Sneed","2020-08-03T10:00:00.000","Bronx","Playground","St. Mary's Park West","Trap & Spin","Open House","Fitness",,"1","Young Adult;#Adults"
"Recreation","Oscar Chavez","2020-08-03T10:00:00.000","Bronx","Park","Williamsbridge Oval Park","Chair Arobics","Community Based Event","Fitness","Summer 2020","18","Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Urban Park Rangers","General Public","2020-08-03T11:00:00.000","Brooklyn","Park","Thomas Boyland Park","Garden Weeds, Flowers to Seeds","Community Based Event","Nature","Summer 2020","6","General Public"
"Urban Park Rangers","General Public","2020-08-03T10:30:00.000","Brooklyn","Park","Paerdegat Park","Staying Cool","Community Based Event","Nature","Summer 2020","5","General Public"
"Urban Park Rangers","General Public","2020-08-03T11:18:00.000","Bronx","Park","St. Mary's Park","Stick Bug Fun","Community Based Event","Nature","Summer 2020","15","General Public"
"Recreation",,"2018-06-27T20:30:00.000","Queens","Park","Unisphere - FMCP","Movies Under the Stars ""Jumanji""","Community Based Event","Mobile Unit","Movies","167","General Public"
"Recreation","Tasha Valentino","2020-08-03T00:00:00.000","Bronx","Park","Soundview Park","Qigong","Agency Produced Event","Fitness","Summer 2020","2","Adults"
"Recreation","Mauricio Cortez","2020-08-03T09:00:00.000","Brooklyn","Playground","Maria Hernandez","Youth Summer Pop Up Recreation","Local Event","Sport","Summer 2020","12","Tot;#Children"
"Recreation","Andrea Williams","2020-08-03T10:00:00.000","Brooklyn","Playground","Hilltop Playground","Mobile Recreation","Community Based Event","Sport","Summer 2020","6","Tot;#Children"
"Recreation","Mauricio Cortez","2020-08-03T12:00:00.000","Brooklyn","Playground","Jesse Owens Playground","Youth Summer Pop Up Recreation","Local Event","Sport","Summer 2020","10","Tot;#Children"
"Recreation","Jonathan Adone","2020-08-03T10:00:00.000","Brooklyn","Park","Leif Ericson Park","Pick up Pickle Ball","Local Event","Fitness","Summer 2020","24","Seniors"
"Recreation","Andrea Williams","2020-08-03T12:00:00.000","Brooklyn","Playground","Cypress Hills Playground","Mobile Recreation","Community Based Event","Sport","Summer 2020","0","Children"
"Urban Park Rangers","General Public","2020-08-03T15:00:00.000","Brooklyn","Park","Saratoga Park","Leaf The Mask On! Leaf scavenger hunt and mask hand out","Community Based Event","Nature","Summer 2020","4","Children;#Young Adult;#Tot"
"Urban Park Rangers","General Public","2020-08-03T15:04:00.000","Bronx","Park","Mullaly Park","Stick Bug Fun","Community Based Event","Nature","Summer 2020","18","General Public"
"Recreation","Jonathan Adone","2020-08-03T13:00:00.000","Brooklyn","Park","McKinley Park","TABATA","Local Event","Fitness","Summer 2020","5","Young Adult;#Adults"
"Recreation","Mauricio Cortez","2020-08-04T09:00:00.000","Brooklyn","Playground","Heckscher Playground","Youth Summer Pop Up Recreation","Local Event","Sport","Summer 2020","0","Tot;#Children"
"Recreation",,"2018-06-29T20:30:00.000","Queens","Playground","Paul Raimonda Playground","Movies Under the Stars ""Wonder""","Community Based Event","Mobile Unit","Movies","194","General Public"
"Recreation","Eligah voyd          Loretta  Burgess-sneed","2020-08-03T14:00:00.000","Bronx","Recreation Center","St. Mary's Recreation Center","Paint With Me","Community Based Event","Arts/Culture","Summer 2020","31","Children"
"Urban Park Rangers","General Public","2020-08-03T11:30:00.000","Manhattan","Park","Tompkins Square Park","Park Clean-up","Community Based Event","Nature","Summer 2020","0","General Public"
"Urban Park Rangers","General Public","2020-08-03T16:30:00.000","Queens","Park","Captain Tilly Park","Nature Exploration and Art","Agency Produced Event","Nature","Summer 2020","12","Children"
"Urban Park Rangers","General Public","2020-08-03T17:00:00.000","Staten Island","Playground","The Big Park","Bird talk & draw!","Community Based Event","Nature","Summer 2020","6","General Public"
"Urban Park Rangers","General Public","2020-08-03T16:24:00.000","Staten Island","Park","Westerleigh Park","Bird talk & draw!","Community Based Event","Nature","Summer 2020","15","General Public"
"Recreation",,"2020-08-04T11:00:00.000","Bronx","Park","Poe Park","STEM: Balloon Car","Local Event","Arts/Culture","Summer 2020","0","Tot;#Children;#Teens"
"Recreation","Ingrid, Gigi","2020-08-03T15:30:00.000","Bronx","Park","Williamsbridge Oval Park","Youth Meets","Community Based Event","Arts/Culture","Summer 2020","26","Tot;#Children"
"Recreation","Tatiyana and GiGi","2020-08-04T09:00:00.000","Bronx","Park","Williamsbridge Oval Park","Spin 2020","Community Based Event","Fitness","Summer 2020","9","Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Recreation",,"2020-07-27T11:00:00.000","Queens","Park","Detective Keith L Williams Park","Kids in Motion","Community Based Event","KIM","Summer 2020","25","Children;#Tot;#General Public"
"Recreation","Mauricio Cortez","2020-08-04T12:00:00.000","Brooklyn","Playground","Star Spangled Playground","Youth Summer Pop Up Recreation","Local Event","Sport","Summer 2020","0","Tot;#Children"
"Recreation",,"2018-06-28T20:30:00.000","Queens","Playground","Conch Playground","Movies Under the Stars ""Ferdinand""","Community Based Event","Mobile Unit","Movies","23","General Public"
"Recreation",,"2020-07-27T11:00:00.000","Queens","Park","Queensbridge Park","Kids in Motion","Community Based Event","KIM","Summer 2020","150","Tot;#Children;#General Public"
"Recreation",,"2020-07-27T11:00:00.000","Queens","Playground","Hoover - Manton Playgrounds","Kids in Motion","Community Based Event","KIM","Summer 2020","100","Tot;#Children;#General Public"
"Recreation",,"2020-07-28T11:00:00.000","Queens","Park","Queensbridge Park","Kids in Motion","Community Based Event","KIM","Summer 2020","18","Children;#Tot;#General Public"
"Recreation",,"2020-07-29T11:00:00.000","Queens","Park","Detective Keith L Williams Park","Kids in Motion","Community Based Event","KIM","Summer 2020","7","Tot;#Children;#General Public"
,,"2022-08-20T20:00:00.000","Brooklyn",,"Cooper Park","Movies Under the Stars: Dune",,"Mobile Unit","M.U.T.S","134",
"Recreation","Eligah Voyd","2020-08-04T11:00:00.000","Bronx","Recreation Center","St. Mary's Recreation Center","Toddler Adventure","Community Based Event","Arts/Culture","Summer 2020","0","Tot"
"Recreation",,"2020-07-30T11:00:00.000","Queens","Park","Queensbridge Park","Kids in Motion","Community Based Event","KIM","Summer 2020","31","Tot;#Children;#General Public"
"Recreation",,"2020-07-28T11:00:00.000","Queens","Playground","Hoover - Manton Playgrounds","Kids in Motion","Community Based Event","KIM","Summer 2020","100","Tot;#Children;#General Public"
"Recreation",,"2020-07-31T11:00:00.000","Queens","Park","Astoria Heights Park","Kids in Motion Pop-Up","Community Based Event","KIM","Summer 2020","30","Tot;#Children;#General Public"
"Recreation",,"2020-07-29T11:00:00.000","Queens","Playground","North Rochdale Playground","Kids in Motion Pop-Up","Community Based Event","KIM","Summer 2020","6","Children;#Tot;#Teens;#General Public"
"Recreation",,"2020-07-30T11:00:00.000","Queens","Playground","Hoover - Manton Playgrounds","Kids in Motion","Community Based Event","KIM","Summer 2020","38","Tot;#Teens;#General Public"
"Recreation",,"2018-07-23T20:30:00.000","Queens","Park","Forest Park Bandshell","Movies Under the Stars ""Grease""","Community Based Event","Mobile Unit","Movies","342","General Public"
"Recreation",,"2020-08-04T13:30:00.000","Bronx","Recreation Center","St. Mary's Recreation Center","Step it Up","Community Based Event","Fitness","Fitness","0","Children"
"Recreation",,"2020-07-31T11:00:00.000","Queens","Playground","Playground for All Children","Kids in Motion Pop-Up","Community Based Event","KIM","Summer 2020","41","Tot;#Children;#General Public"
"Recreation","Jeslyn Galarza","2020-08-04T10:00:00.000","Bronx","Playground","St. Mary's Park West","Trap and Spin","Open House","Fitness","Fitness","0","Young Adult;#Adults"
"Recreation","St James","2020-08-05T10:00:00.000","Bronx","Recreation Center","St. James Recreation Center","Toddlers Games","Community Based Event","Sport","Summer 2020","3","Tot"
"Recreation","Raoufa Ali","2020-07-31T10:30:00.000","Manhattan","Park","Hamilton Fish Park","KIM Outdoor Programming","Community Based Event","Sport","Summer 2020","3","Tot;#Children;#Teens"
"Recreation","Jeslyn Galarza","2020-08-04T15:00:00.000","Bronx","Playground","St. Mary's Park West","Hip Hop and Jazz","Open House","Performance","Dance","0","Children;#Teens"
"Recreation",,"2020-08-04T09:00:00.000","Bronx","Recreation Center","St. Mary's Recreation Center","Skills & Drills","Community Based Event","Sport","Summer 2020","0","Children;#Young Adult;#Teens"
"Recreation","Daniel Colonna","2020-08-01T10:30:00.000","Manhattan","Park","Thomas Jefferson Park","SSE Outdoor Programming","Community Based Event","Sport","Summer 2020","19","Tot;#Children;#Teens"
"Recreation","Crol LAndes","2020-08-03T08:00:00.000","Staten Island","Playground","Jennifer's Playground","stronger than ever","Open House","Fitness","Summer 2020","15","Seniors"
"Urban Park Rangers","General Public","2020-08-05T11:20:00.000","Staten Island","Playground","Jennifer's Playground","Ranger Trivia!","Community Based Event","Nature","Summer 2020","7","General Public"
"Recreation",,"2018-03-29T10:00:00.000","Brooklyn","Recreation Center","McCarren Play Center","March Madness","Local Event","Sport","Tier 1","150","Tot"
"Recreation",,"2018-05-24T20:30:00.000","Manhattan","Park","Sara D. Roosevelt Park","Movies Under the Stars: The House","Community Based Event","Mobile Unit","Movies","50","General Public"
"Recreation",,"2018-06-30T20:30:00.000","Queens","Other","Rory Staunton Field","Movies Under the Stars ""An American Tail""","Community Based Event","Mobile Unit","Movies","101","General Public"
"Recreation","Ingrid Tafe","2020-08-05T10:00:00.000","Bronx","Park","Williamsbridge Oval Park","Circuit Training","Community Based Event","Fitness","Summer 2020","16","Seniors;#Adults"
"Recreation","carol landes","2020-08-04T08:00:00.000","Staten Island","Park","Freshkills Park","stronger than ever - trail walks","Open House","Fitness","Summer 2020","0","Seniors"
"Recreation","carol landes","2020-07-27T08:00:00.000","Staten Island","Playground","Jennifer's Playground",,"Open House","Fitness","Summer 2020","11","Seniors"
"Urban Park Rangers","General public","2020-08-05T12:00:00.000","Queens","Park","Broad Channel American Park","Whale, whale, whale","Community Based Event","Nature","Summer 2020","23","General Public"
"Recreation","carol landes","2020-08-05T08:00:00.000","Staten Island","Playground","Jennifer's Playground","stronger than ever","Open House","Fitness","Summer 2020","16","Seniors"
"Urban Park Rangers","General Public","2020-08-05T11:42:00.000","Staten Island","Park","Westerleigh Park","Ranger Trivia!","Community Based Event","Nature","Summer 2020","12","General Public"
"Urban Park Rangers","General Public","2020-08-05T11:25:00.000","Bronx","Playground","Tremont Park","Nature Art","Community Based Event","Nature","Summer 2020","9","Children;#Tot"
"Recreation","Deirdra Lacy","2020-08-05T10:00:00.000","Brooklyn","Park","St. John's Park","Summer 2020 Outdoor Program","Agency Produced Event","Fitness","Summer 2020","4","Adults;#Seniors;#General Public"
"Urban Park Rangers","General Public","2020-08-05T11:00:00.000","Manhattan","Park","Inwood Hill Park","Fungus Amongus!","Community Based Event","Nature","Summer 2020","2","General Public"
"Urban Park Rangers","General Public","2020-08-05T10:00:00.000","Brooklyn","Park","Marine Park","Seaside Exploration/Seining","Community Based Event","Nature","Summer 2020","8","Children;#General Public"
"Recreation","Councilman Cohen","2018-07-24T20:30:00.000","Bronx","Recreation Center","Williamsbridge Oval Recreation Center","Movies Under The Stars: Boss Baby","Community Based Event","Mobile Unit","Movies","104","General Public"
"Recreation","Mauricio Cortez","2020-08-05T00:00:00.000","Brooklyn","Playground","Maria Hernandez","Youth Summer Pop Up Recreation","Local Event","Sport","Summer 2020","15","Children;#Tot"
"Urban Park Rangers","General Public","2020-08-05T13:25:00.000","Queens","Park","Elmhurst Park","Wildlife in Elmhurst","Community Based Event","Nature","Summer 2020","15","General Public"
"Recreation","Jonathan Adone","2020-08-05T10:00:00.000","Brooklyn","Park","Leif Ericson Park","Pick Up Pickle Ball","Local Event","Fitness","Summer 2020","22","Seniors"
"Recreation",,"2020-08-05T11:00:00.000","Bronx","Park","Poe Park","Art in the Parks: Painting hacks using water bottles","Local Event","Arts/Culture","Summer 2020","5","Tot;#Children;#Teens"
"Recreation",,"2020-08-05T14:00:00.000","Bronx","Park","Poe Park","Art in the Park: Painting Hacks using Water Bottles","Local Event","Arts/Culture","Summer 2020","8","Tot;#Children;#Teens"
"Urban Park Rangers","General Public","2020-08-05T14:00:00.000","Bronx","Park","Concrete Plant Park","Fishing","Agency Produced Event","Nature","Summer 2020","8","Children"
"Recreation","Mauricio Cortez","2020-08-12T12:00:00.000","Brooklyn","Playground","Potomac Playground","Youth Summer Pop Up Recreation","Local Event","Sport","Summer 2020","17","Tot;#Children"
"Recreation","Jeslyn Galarza","2020-08-05T15:00:00.000","Bronx","Playground","St. Mary's Park West","Hip Hop and Jazz","Open House","Performance","Dance","0","Children;#Teens"
