"unit","group_name_partner","date_and_time","borough","locationtype","location","event_name","event_type","category","classification","attendance","audience"
,,"2022-05-25T14:54:00.000","Bronx",,"Arsenal Central Park",,,"--None--","--None--","0",
"Recreation","Jazz Foundation","2019-05-03T18:00:00.000","Manhattan","Recreation Center","Hansborough Recreation Center","Jazz Concert","Agency Produced Event","Arts/Culture","AC&F","69","General Public"
"Recreation",,"2018-06-16T20:00:00.000","Manhattan","Playground","Little Flower Playground","Movies Under the Stars: The Greatest Showman","Community Based Event","Mobile Unit","Movies","275","General Public"
"Aquatics",,"2019-04-28T09:00:00.000","Queens","Recreation Center","Flushing Meadows Corona Park Pool & Rink","High Point 3","Tournament/Competition","Sport","Tier 1","1288","Children;#General Public"
"Aquatics",,"2019-03-24T09:00:00.000","Queens","Recreation Center","Flushing Meadows Corona Park Pool & Rink","High Point  2","Tournament/Competition","Sport","Tier 1","1047","Children;#General Public"
"Aquatics",,"2018-12-02T09:00:00.000","Queens","Recreation Center","Flushing Meadows Corona Park Pool & Rink","High Point 1","Tournament/Competition","Sport","Tier 1","1255","Children;#General Public"
"Recreation","Queensboro Dance Festival","2019-06-08T18:00:00.000","Queens","Park","Beach 17th Street","Queensboro Dance Festival","Open House","Arts/Culture","AC&F","250","General Public"
"Aquatics",,"2019-05-05T09:45:00.000","Queens","Recreation Center","Flushing Meadows Corona Park Pool & Rink","Masters Meet","Tournament/Competition","Sport","Tier 1","254","Young Adult;#Adults;#Seniors"
"Aquatics",,"2019-05-19T10:00:00.000","Queens","Recreation Center","Flushing Meadows Corona Park Pool & Rink","Borough Cup Championship","Tournament/Competition","Sport","Tier 1","928","Children;#General Public"
"Aquatics","Brooklyn Recreation","2019-05-10T09:00:00.000","Brooklyn","Recreation Center","Brownsville Recreation Center","Senior Games","Tournament/Competition","Sport","Tier 1","102","Seniors"
"Recreation","Council Member Rory Lancman, Briarwood Community Association and Archbishop Molloy High School","2019-06-09T13:00:00.000","Queens","Playground","Hoover Manton Playground","Briarwood Family Day","Community Based Event","Family Festival","Play","1000","General Public"
"Aquatics","Bronx Recreation","2019-05-31T10:00:00.000","Bronx","Recreation Center","St. Mary's Recreation Center","Senior Swim Olympics","Tournament/Competition","Sport","Aquatics","116","Seniors"
"Recreation","Council Member Daneek Miller","2019-06-06T12:00:00.000","Queens","Playground","Skating Day at Daniel Oâ€™Connell","Skating Day at Daniel Oâ€™Connell","Local Event","Family Festival","Play","200","General Public"
"Recreation",,"2018-06-14T20:00:00.000","Manhattan","Park","Marcus Garvey Park","Movies Under the Stars: The Shape of Water","Community Based Event","Mobile Unit","Movies","220","General Public"
"Recreation","Council Member Holden","2019-05-18T13:00:00.000","Queens","Playground","Rosemarys Playground","Spring Festival at Rosemarys Playground","Local Event","Family Festival","Play","1200","General Public"
"Recreation",,"2019-06-07T17:30:00.000","Manhattan","Recreation Center","J. Hood Wright Recreation Center","Sounds of Disco","Local Event","Fitness","Dance","25","Tot;#Adults;#Teens;#Children;#Young Adult;#Adaptive;#Seniors;#General Public"
"Recreation","Council Member Lanceman","2019-05-26T13:00:00.000","Queens","Playground","Ponomok Playground","Family Day at Ponomok Playground","Local Event","Family Festival","Play","250","General Public"
"Recreation","Council Member Rory Lancman","2019-06-08T13:00:00.000","Queens","Playground","Utopia Playground","Fresh Meadows Family Day","Local Event","Family Festival","Play","350","General Public"
"Recreation","Council Member Holden","2019-05-25T01:00:00.000","Queens","Park","Frank Principe Park","Spring Festival at Frank Principe Park","Local Event","Family Festival","Play","400","General Public"
"Recreation","Council Member Adrienne Adams","2019-06-01T13:00:00.000","Queens","Park","Baisley Park Extension","District 28 Day","Local Event","Family Festival","Play","190","General Public"
"Recreation",,"2019-06-14T00:00:00.000","Queens","Recreation Center","Al Oerter Recreation Center","Make Your Mark: Art Workshop Series","Agency Produced Event","Arts/Culture","AC&F","38","General Public"
"Recreation","Family Day at Mauro Playground","2019-05-19T13:00:00.000","Queens","Playground","Mauro Playground","Family Day at Mauro Playground","Local Event","Family Festival","Play","600","General Public"
"Recreation","Jackson Heights Beautification Group, CM Dromm","2019-06-14T20:30:00.000","Queens","Playground","Playground Ninety","How to Train Your Dragon: The Hidden World","Community Based Event","Mobile Unit","M.U.T.S","130","General Public"
"Urban Park Rangers",,"2019-06-07T11:00:00.000","Bronx","Playground","Saw Mill Playground",,"Agency Produced Event","Nature",,"30","Children"
"Recreation","MOCA Cinema","2018-06-15T20:00:00.000","Manhattan","Park","Columbus Park","Movies Under the Stars: MOCA: The Lego Ninjago Movie","Community Based Event","Mobile Unit","Movies","227","General Public"
"Recreation",,"2019-06-14T16:00:00.000","Manhattan","Recreation Center","J. Hood Wright Recreation Center","Father's Day Game Night","Local Event","Sport","Play","20","Young Adult;#Adults;#Seniors"
"Recreation",,"2019-06-14T20:00:00.000","Bronx","Park","Pelham Parkway","Fantastic Beast: Crimes of Grindelwald","Community Based Event","Mobile Unit","M.U.T.S","50","General Public"
"Recreation",,"2019-06-08T09:00:00.000","Queens","Park","Roy Wilkins Park","Queens Recreation Pickleball Tournament","Tournament/Competition","Sport","Tier 3","100","Seniors;#Adults"
"Recreation",,"2019-06-15T20:00:00.000","Bronx","Playground","Playground 52 LII","Spider-Man: Into the Spider-Verse","Community Based Event","Mobile Unit","M.U.T.S","95","General Public"
"Recreation","Partnership for Parks","2019-06-15T11:00:00.000","Queens","Park","Astoria Heights Playground",,"Community Based Event","Mobile Unit","Play","75","General Public"
"Recreation",,"2019-06-14T20:00:00.000","Bronx","Park","Joyce Kilmer Park","Ant Man & the Wasp","Community Based Event","Mobile Unit","M.U.T.S","30","General Public"
"Recreation","CM Kozlowitz","2019-06-15T20:30:00.000","Queens","Playground","Ehrenreich-Austin Playground","Spider-Man: Into the Spiderverse","Community Based Event","Mobile Unit","M.U.T.S","130","General Public"
"Recreation","MUTS","2019-06-13T20:30:00.000","Manhattan","Recreation Center","Tony Dapolito Recreation Center","Pride Movie Series: Too Wong Fu","Community Based Event","Arts/Culture","M.U.T.S","55","Young Adult;#Adults;#Seniors;#General Public"
"Recreation",,"2019-06-20T20:15:00.000","Manhattan","Recreation Center","Tony Dapolito Recreation Center","Pride Movie Series: The Adventures of Priscilla, Queen of the Desert","Community Based Event","Arts/Culture",,"23","Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive"
"Recreation","Jonathan Adone","2020-08-28T10:00:00.000","Brooklyn","Park","Leif Ericson Park","Pick UP Pickleball","Local Event","Fitness","Summer 2020","20","Seniors"
"Urban Park Rangers","Office of Commissioner of Iris Rodriguez Rosa","2019-06-19T00:00:00.000","Bronx","Playground","Hunts Point Playground","Hunts Point Playground Ribbon Cutting","Community Based Event","Nature",,"30","Children"
"Recreation",,"2018-06-16T20:30:00.000","Queens","Playground","Electric Playground","MUTS - Moana","Community Based Event","Mobile Unit","Movies","138","General Public"
"Recreation",,"2019-06-09T00:00:00.000","Brooklyn","Park","Bushwick Inlet Park","Bohemian Rhapsody(2018)","Community Based Event","Mobile Unit","M.U.T.S","302","General Public"
"Recreation","Friends of Beach 59th Street","2019-06-22T11:00:00.000","Queens","Playground","Beach 59th St Playground","fabulous fitness","Community Based Event","Mobile Unit","Play","66","General Public"
"Recreation","MUTS","2019-06-19T20:30:00.000","Manhattan","Recreation Center","Tony Dapolito Recreation Center","Pride Movie Series: A Star Is Born","Community Based Event","Arts/Culture","M.U.T.S","61","Young Adult;#Adults;#Adaptive;#Seniors;#General Public"
"Recreation",,"2019-06-21T17:30:00.000","Manhattan","Recreation Center","J. Hood Wright Recreation Center","Latin Dance Night","Local Event","Fitness","Dance","80","Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public;#Tot"
"Recreation",,"2019-06-21T20:00:00.000","Bronx","Playground","Melrose Playground","Spider-Man: Into the Spider-Verse","Community Based Event","Mobile Unit","M.U.T.S","110","General Public"
"Recreation","Make Music NY, ACF","2019-06-21T19:00:00.000","Brooklyn","Park","McCarren Park","Summer Solstice","Community Based Event","Arts/Culture","Music","100","General Public"
"Recreation",,"2019-06-22T20:00:00.000","Bronx","Park","Van Cortlandt Park","Creed 2","Community Based Event","Mobile Unit","M.U.T.S","190","General Public"
"Recreation","Councilman Justin Branan","2019-06-23T20:30:00.000","Brooklyn","Park","Owl's Head Park","ET","Community Based Event","Mobile Unit","M.U.T.S","300","General Public"
"Recreation","Public School 256 Queens","2019-06-24T11:00:00.000","Queens","School","160 Beach 29th street","Public School 256 Field Day","Community Based Event","Mobile Unit","Play","48","Children;#Adults"
"Recreation","NYCDOE","2019-06-25T13:00:00.000","Queens","School","109-20 Union Hall Street","PS 40 Field Day","Community Based Event","Mobile Unit","Play","38","Children;#Adults"
"Recreation","Councilman Cabrera","2018-06-18T20:30:00.000","Bronx","Park","St. James Park","Movies Under The Stars: Coco","Community Based Event","Mobile Unit","Movies","136","General Public"
"Recreation",,"2019-06-21T18:00:00.000","Manhattan","Recreation Center","Asser Levy Recreation Center","Art Inspired By: Frida Kahlo","Agency Produced Event","Arts/Culture",,"19","Young Adult;#Adults"
"Recreation",,"2019-06-21T20:00:00.000","Bronx","Park","Soundview Park","Spider-Man:Into the Spider-Verse","Community Based Event","Mobile Unit","M.U.T.S","45","General Public"
"Recreation","ABFF","2019-06-12T20:30:00.000","Brooklyn","Playground","Crispus Attucks Playground","Web Series Wednesdays","Community Based Event","Mobile Unit","M.U.T.S","100","General Public"
"Recreation",,"2019-04-13T11:00:00.000","Manhattan","Recreation Center","Highbridge Recreation Center","Easter Event","Agency Produced Event","Family Festival",,"1132","Tot;#Children;#General Public"
"Recreation",,"2019-03-30T10:00:00.000","Manhattan","Recreation Center","Gertrude Ederle Recreation Center","Find the SHE-Ro in You","Agency Produced Event","Fitness","Fitness","351","Children;#Young Adult;#Adults;#Teens;#General Public"
"Recreation","Councilman Justin Branan, Sound Off","2019-06-14T19:00:00.000","Brooklyn","Other","American Veterans Memorial Pier","Silent Disco","Community Based Event","Arts/Culture","Music","600","General Public"
"Recreation",,"2019-07-01T09:00:00.000","Bronx","Recreation Center","St. James Recreation Center","National Parks and Recreation Open House Month","Open House","Fitness","Fitness","100","Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Recreation","Councilman Justin Branan, Skaterobics","2019-06-15T12:00:00.000","Brooklyn","Park","Shore Park and Parkway","Community Skate","Community Based Event","Sport","Play","160","General Public"
"Recreation","John Bunge","2019-03-09T10:00:00.000","Manhattan","Recreation Center","Thomas Jefferson Recreation Center","AC&F: Make your Mark: Fabric Collages","Agency Produced Event","Arts/Culture","AC&F","32","Adaptive;#Seniors;#General Public;#Adults;#Young Adult;#Teens"
"Recreation",,"2019-07-27T11:00:00.000","Bronx","Recreation Center","St. James Recreation Center","National Parks & Recreation Celebrates Children's Day","Agency Produced Event","Family Festival","Play","200","Tot;#Children"
"Recreation","Council Member Rory Lancman","2018-06-17T13:00:00.000","Queens","Playground","Mauro","Family Day at Mauro Playground","Community Based Event","Family Festival","Play","387","General Public"
"Recreation",,"2019-02-09T11:00:00.000","Manhattan","Recreation Center","Hansborough Recreation Center","She's on Point","Agency Produced Event","Fitness","Fitness","519","Children;#Young Adult;#Teens;#General Public"
"Recreation",,"2019-07-03T09:00:00.000","Bronx","Recreation Center","St. James Recreation Center","Jump In To Fall Open House Week","Open House","Fitness","Fitness","100","Young Adult;#Adults;#Children;#Teens;#Seniors;#Adaptive;#General Public"
"Recreation","John Bunge","2019-03-21T10:00:00.000","Manhattan","Recreation Center","Thomas Jefferson Recreation Center","AC&F: Make Your Mark: Fabric Collages","Agency Produced Event","Arts/Culture","AC&F","21","General Public;#Seniors;#Teens;#Adults;#Adaptive"
"Recreation","John Bunge","2019-03-30T10:00:00.000","Manhattan","Recreation Center","Thomas Jefferson Recreation Center","AC&F: Make Your Mark: Fabric Collages","Agency Produced Event","Arts/Culture","AC&F","44","General Public;#Adaptive;#Adults;#Seniors;#Teens;#Young Adult"
"Recreation","John Bunge","2019-03-23T10:00:00.000","Manhattan","Recreation Center","Thomas Jefferson Recreation Center","AC&F: Make Your Mark: Fabric Collages","Agency Produced Event","Arts/Culture","AC&F","26","General Public;#Adaptive;#Adults;#Teens;#Seniors;#Young Adult"
"Recreation",,"2019-06-14T08:30:00.000","Manhattan","Recreation Center","Recreation Center 54","Father's Day Intergenerational Basketball Game","Tournament/Competition","Sport","Tier 1","25","Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public"
"Recreation",,"2019-06-25T11:30:00.000","Manhattan","Recreation Center","Recreation Center 54","Totally Tots Moving Up Ceremony","Agency Produced Event","Performance",,"62","Children;#Adults;#Young Adult;#Teens;#Tot;#Seniors"
"Recreation",,"2019-01-29T18:00:00.000","Manhattan","Recreation Center","Recreation Center 54","AC&F: Watercolor Workshop","Agency Produced Event","Arts/Culture","AC&F","62","Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive"
"Recreation",,"2019-01-15T06:00:00.000","Manhattan","Recreation Center","Recreation Center 54","AC&F: Watercolor Workshop","Agency Produced Event","Arts/Culture","AC&F","42","Young Adult;#Adults;#Teens;#Seniors;#Adaptive;#General Public"
"Recreation",,"2019-01-11T18:30:00.000","Manhattan","Recreation Center","Recreation Center 54","Drip The Runway: Youth Art and Fashion","Agency Produced Event","Performance",,"95","Children;#Teens;#Young Adult;#Adults;#Seniors;#Adaptive;#General Public"
